"species","Mean","SD","q.025","q.05","q.25","q.75","q.95","q.975","SP","mock"
"Eleginus gracilis",-0.0178393954945725,0.00649987642841376,-0.0311465497917057,-0.0286175719331178,-0.0219976028751518,-0.0138398891660953,-0.00719673571208052,-0.0048086769635558,"Eleginus gracilis","middle"
"Boreogadus saida",-0.0136627013816433,0.0083120776655666,-0.0302278893345138,-0.0272444461839201,-0.0190309117075596,-0.00833945285567506,0.000346919310366028,0.00295867008001826,"Boreogadus saida","middle"
"Gadus macrocephalus",-0.0055539057900186,0.00532430961527881,-0.0161577512362119,-0.0142663397592825,-0.00903812486085037,-0.00206383626454554,0.00327300247650152,0.00486156533663313,"Gadus macrocephalus","middle"
"zRefSpecies_Arctogadus glacialis",-0.0011820339370072,0.00286288175510367,-0.00687598646511718,-0.00603288573486871,-0.00300698406486088,0.000693391158358092,0.00342430430249426,0.00436814740953885,"Arctogadus glacialis","middle"
"Gadus chalcogrammus",0.0177719377864885,0.00528065147307812,0.00740450536693989,0.00917983446735492,0.0143455315331308,0.0210109998689011,0.0263991133786508,0.0283628018096327,"Gadus chalcogrammus","middle"
"Microgadus proximus",0.0204660988167531,0.00803464729254004,0.00471866391475655,0.00756544211405527,0.0153813675122146,0.0255996622675429,0.0334495418209956,0.0363962647660981,"Microgadus proximus","middle"
