"species","Mean","SD","q.025","q.05","q.25","q.75","q.95","q.975","SP","mock"
"Eleginus gracilis",-0.0257732223241529,0.00647396411902092,-0.0384672354711275,-0.0362011031561931,-0.0299835605425052,-0.0216021543174208,-0.0151887347388462,-0.0129598765848707,"Eleginus gracilis","north1"
"Boreogadus saida",-0.0248950746731281,0.00829457844732062,-0.0410755261648935,-0.0385137700319311,-0.030249710714646,-0.0196813913973157,-0.0114370188385323,-0.0082073965516353,"Boreogadus saida","north1"
"zRefSpecies_Arctogadus glacialis",0.0028366916274627,0.00290564351649641,-0.00301397529787538,-0.00205570266486088,0.00092495923532121,0.00477838535111746,0.00750038036667448,0.00838584870253421,"Arctogadus glacialis","north1"
"Gadus macrocephalus",0.00729139198143414,0.00540500250746959,-0.00325327373121327,-0.00152489840504345,0.00377912911626621,0.0107713689168323,0.0162711765602117,0.0179774936507737,"Gadus macrocephalus","north1"
"Gadus chalcogrammus",0.014505671152782,0.00529261525692306,0.00415415058682454,0.00600499868912159,0.010984638061666,0.0180421012423589,0.0230331625013436,0.0247731396627253,"Gadus chalcogrammus","north1"
"Microgadus proximus",0.0260345422356022,0.00783842257545683,0.010146555111982,0.0130196777441746,0.0210024566476949,0.0310791469948342,0.0388681851183932,0.0416436082686975,"Microgadus proximus","north1"
