"species","Mean","SD","q.025","q.05","q.25","q.75","q.95","q.975","SP","mock"
"Boreogadus saida",-0.0190459676419417,0.00861486510905928,-0.0358440373874344,-0.0328619194336381,-0.0243349736716021,-0.0135726916770468,-0.005175169147962,-0.00191708860503816,"Boreogadus saida","north2"
"Gadus macrocephalus",-0.00729536997442788,0.0053926567280194,-0.0178716763492548,-0.0159318219761218,-0.0108372338064682,-0.00387476793828101,0.00160359510212766,0.00340512093572133,"Gadus macrocephalus","north2"
"Eleginus gracilis",-0.00676035849561788,0.00648826584586244,-0.0197447612423537,-0.0173939382582586,-0.0109422143301253,-0.00244447719368523,0.0035381332233544,0.00604851372138997,"Eleginus gracilis","north2"
"zRefSpecies_Arctogadus glacialis",0.00478787021995669,0.00286050887604425,-0.000796428703128799,0.000100865648114745,0.00292065126086394,0.00664388158306928,0.00959194334163509,0.0105281640041774,"Arctogadus glacialis","north2"
"Gadus chalcogrammus",0.00993554104477253,0.00527648607007776,-0.000763381636782656,0.00123538819907283,0.00650339236419684,0.0133801377416997,0.0185308045477548,0.0200112861313905,"Gadus chalcogrammus","north2"
"Microgadus proximus",0.0183782848472582,0.00793455969390459,0.00235173803259314,0.00528965892721908,0.0134889610563261,0.0234865602397066,0.0312730827679557,0.0338685249500394,"Microgadus proximus","north2"
