"species","Mean","SD","q.025","q.05","q.25","q.75","q.95","q.975","SP","mock"
"Boreogadus saida",-0.0169628627776417,0.00862267287741036,-0.0344162990707896,-0.031095265349444,-0.0222911023481951,-0.01139527391234,-0.00308363979636493,-9.96751029469718e-05,"Boreogadus saida","even"
"Eleginus gracilis",-0.0111685381088441,0.00657598972003939,-0.024208381010209,-0.0219543478338221,-0.0153709729564712,-0.00700129413111539,-0.000560845502487583,0.00199566828977519,"Eleginus gracilis","even"
"Gadus macrocephalus",-0.00726867997679107,0.00542353631831088,-0.0181195555273065,-0.0162664324070179,-0.0107631092340593,-0.00365835251742824,0.00151072399452952,0.0031925010720368,"Gadus macrocephalus","even"
"zRefSpecies_Arctogadus glacialis",0.00209084347656909,0.00283982252006439,-0.00360208913727476,-0.00254446219190914,0.000283620550177943,0.00394911246220525,0.00671971918156353,0.00753800614424378,"Arctogadus glacialis","even"
"Gadus chalcogrammus",0.0124103239637248,0.0052656722415094,0.00166673270452961,0.00387135980239032,0.00914090286799812,0.0158334228412114,0.020969666625529,0.0225493934104037,"Gadus chalcogrammus","even"
"Microgadus proximus",0.0208989134229829,0.00778293066401697,0.00560544380499652,0.00867769193197995,0.0158566444737138,0.0260142979795169,0.0337046705088889,0.0366012769115494,"Microgadus proximus","even"
