"species","Mean","SD","q.025","q.05","q.25","q.75","q.95","q.975","SP","mock"
"Microgadus proximus",-0.0100917277177368,0.00814628651730642,-0.0265380135386186,-0.0231205580565594,-0.0154260748427013,-0.00490670468579057,0.00325264472816933,0.00636445500053814,"Microgadus proximus","south1"
"Boreogadus saida",-0.00978094960948016,0.00849210733419318,-0.0267090337295244,-0.0236963732900317,-0.0152819216508468,-0.00425816770857762,0.00413311613965718,0.00646731963767718,"Boreogadus saida","south1"
"Gadus macrocephalus",-0.00186169553049702,0.00554767849466249,-0.0126888003507738,-0.0107545377522551,-0.00551773633201186,0.00181102691945606,0.00720644777407741,0.00893719860471969,"Gadus macrocephalus","south1"
"Eleginus gracilis",0.0019269154001041,0.00657549661609198,-0.0108456876623079,-0.00889048142567431,-0.00213674964002825,0.0061474237998031,0.0127632547335028,0.0151429085393996,"Eleginus gracilis","south1"
"zRefSpecies_Arctogadus glacialis",0.00367312416180773,0.00307754993640115,-0.00219685739749246,-0.00135410619318548,0.00159015724867145,0.00571693991612621,0.00875637833751967,0.00980367154434893,"Arctogadus glacialis","south1"
"Gadus chalcogrammus",0.0161343332958022,0.00536885703203491,0.00516176031791226,0.00732014351203384,0.0127582223675644,0.0195945103702065,0.02490064869191,0.0268113550524988,"Gadus chalcogrammus","south1"
