"species","Mean","SD","q.025","q.05","q.25","q.75","q.95","q.975","SP","mock"
"Boreogadus saida",-0.0264793457751298,0.00867103908907852,-0.0435521408321171,-0.0402971979210172,-0.0318719469879815,-0.0209956540011191,-0.0124104547037182,-0.00878860532287702,"Boreogadus saida","south2"
"Eleginus gracilis",-0.0140767953800868,0.00647502533726277,-0.0268350386225407,-0.0245755419321323,-0.0183242349221263,-0.00983636207292254,-0.00369626317485574,-0.0015526415087703,"Eleginus gracilis","south2"
"Gadus macrocephalus",0.00148703294611017,0.00538218182543617,-0.00913584361100776,-0.00719190100291579,-0.00215004600626584,0.00504534290427855,0.0102937352659514,0.0120804054857409,"Gadus macrocephalus","south2"
"Gadus chalcogrammus",0.00453604379894094,0.00527277893531589,-0.00607109153250443,-0.00415540900919631,0.00114353410618911,0.00799755272606656,0.013099425320341,0.014884802645096,"Gadus chalcogrammus","south2"
"zRefSpecies_Arctogadus glacialis",0.00673967687225656,0.00283285320077656,0.0010167299305804,0.00210771504206361,0.00487925540038187,0.00858060331125915,0.011430638085196,0.0123148914841871,"Arctogadus glacialis","south2"
"Microgadus proximus",0.027793387537909,0.00772075318663712,0.0122884613838179,0.0152285195741406,0.0228646573759317,0.032560993904823,0.040257705801279,0.043405688420893,"Microgadus proximus","south2"
