"","Sample_ID","sample_type","extraction_ID","pcr_replicate","alt_ID","site","taxon","total_reads","MiSeq_run"
"933","e02495-C","sample","e02495","C","251","63","Gadus macrocephalus",47207,"B"
"934","e02496-A","sample","e02496","A","234","14","Gadus chalcogrammus",26370,"B"
"935","e02496-A","sample","e02496","A","234","14","Gadus macrocephalus",118,"B"
"936","e02496-B","sample","e02496","B","234","14","Gadus chalcogrammus",52980,"B"
"937","e02496-B","sample","e02496","B","234","14","Gadus macrocephalus",215,"B"
"938","e02496-C","sample","e02496","C","234","14","Gadus chalcogrammus",41331,"B"
"939","e02496-C","sample","e02496","C","234","14","Gadus macrocephalus",108,"B"
"940","e02497-A","sample","e02497","A","272","14","Gadus chalcogrammus",22909,"B"
"941","e02497-A","sample","e02497","A","272","14","Gadus macrocephalus",413,"B"
"942","e02497-B","sample","e02497","B","272","14","Gadus chalcogrammus",50228,"B"
"943","e02497-B","sample","e02497","B","272","14","Gadus macrocephalus",673,"B"
"944","e02497-C","sample","e02497","C","272","14","Gadus chalcogrammus",37751,"B"
"945","e02497-C","sample","e02497","C","272","14","Gadus macrocephalus",666,"B"
"946","e02498-A","sample","e02498","A","150","14","Gadus chalcogrammus",15545,"B"
"947","e02498-A","sample","e02498","A","150","14","Gadus macrocephalus",39,"B"
"948","e02498-B","sample","e02498","B","150","14","Gadus chalcogrammus",42882,"B"
"949","e02498-B","sample","e02498","B","150","14","Gadus macrocephalus",113,"B"
"950","e02498-C","sample","e02498","C","150","14","Gadus chalcogrammus",31333,"B"
"951","e02498-C","sample","e02498","C","150","14","Gadus macrocephalus",124,"B"
"952","e02500-A","sample","e02500","A","254","78","Gadus chalcogrammus",19063,"B"
"953","e02500-A","sample","e02500","A","254","78","Gadus macrocephalus",0,"B"
"954","e02500-B","sample","e02500","B","254","78","Gadus chalcogrammus",39800,"B"
"955","e02500-B","sample","e02500","B","254","78","Gadus macrocephalus",21,"B"
"956","e02500-C","sample","e02500","C","254","78","Gadus chalcogrammus",39737,"B"
"957","e02500-C","sample","e02500","C","254","78","Gadus macrocephalus",45,"B"
"958","e02501-A","sample","e02501","A","73","78","Gadus chalcogrammus",23096,"B"
"959","e02501-A","sample","e02501","A","73","78","Gadus macrocephalus",0,"B"
"960","e02501-B","sample","e02501","B","73","78","Gadus chalcogrammus",54799,"B"
"961","e02501-B","sample","e02501","B","73","78","Gadus macrocephalus",99,"B"
"962","e02501-C","sample","e02501","C","73","78","Gadus chalcogrammus",39019,"B"
"963","e02501-C","sample","e02501","C","73","78","Gadus macrocephalus",26,"B"
"964","e02362-A","sample","e02362","A","435","2","Boreogadus saida",899,"A"
"965","e02362-A","sample","e02362","A","435","2","Gadus chalcogrammus",27271,"A"
"966","e02362-A","sample","e02362","A","435","2","Gadus macrocephalus",1933,"A"
"967","e02362-B","sample","e02362","B","435","2","Boreogadus saida",1033,"A"
"968","e02362-B","sample","e02362","B","435","2","Gadus chalcogrammus",34908,"A"
"969","e02362-B","sample","e02362","B","435","2","Gadus macrocephalus",2225,"A"
"970","e02362-C","sample","e02362","C","435","2","Boreogadus saida",723,"A"
"971","e02362-C","sample","e02362","C","435","2","Gadus chalcogrammus",30132,"A"
"972","e02362-C","sample","e02362","C","435","2","Gadus macrocephalus",2466,"A"
"973","e02363-A","sample","e02363","A","393","2","Boreogadus saida",1125,"A"
"974","e02363-A","sample","e02363","A","393","2","Gadus chalcogrammus",23592,"A"
"975","e02363-A","sample","e02363","A","393","2","Gadus macrocephalus",3042,"A"
"976","e02363-B","sample","e02363","B","393","2","Boreogadus saida",1123,"A"
"977","e02363-B","sample","e02363","B","393","2","Gadus chalcogrammus",27567,"A"
"978","e02363-B","sample","e02363","B","393","2","Gadus macrocephalus",2347,"A"
"979","e02363-C","sample","e02363","C","393","2","Boreogadus saida",725,"A"
"980","e02363-C","sample","e02363","C","393","2","Gadus chalcogrammus",25099,"A"
"981","e02363-C","sample","e02363","C","393","2","Gadus macrocephalus",2477,"A"
"982","e02366-A","sample","e02366","A","446","2","Boreogadus saida",749,"A"
"983","e02366-A","sample","e02366","A","446","2","Gadus chalcogrammus",22107,"A"
"984","e02366-A","sample","e02366","A","446","2","Gadus macrocephalus",1861,"A"
"985","e02366-B","sample","e02366","B","446","2","Boreogadus saida",837,"A"
"986","e02366-B","sample","e02366","B","446","2","Gadus chalcogrammus",44134,"A"
"987","e02366-B","sample","e02366","B","446","2","Gadus macrocephalus",2404,"A"
"988","e02366-C","sample","e02366","C","446","2","Boreogadus saida",455,"A"
"989","e02366-C","sample","e02366","C","446","2","Gadus chalcogrammus",32544,"A"
"990","e02366-C","sample","e02366","C","446","2","Gadus macrocephalus",2314,"A"
"991","e02370-A","sample","e02370","A","81","39","Boreogadus saida",3564,"A"
"992","e02370-A","sample","e02370","A","81","39","Gadus chalcogrammus",17415,"A"
"993","e02370-A","sample","e02370","A","81","39","Gadus macrocephalus",9731,"A"
"994","e02370-B","sample","e02370","B","81","39","Boreogadus saida",3713,"A"
"995","e02370-B","sample","e02370","B","81","39","Gadus chalcogrammus",20770,"A"
"996","e02370-B","sample","e02370","B","81","39","Gadus macrocephalus",11903,"A"
"997","e02370-C","sample","e02370","C","81","39","Boreogadus saida",3002,"A"
"998","e02370-C","sample","e02370","C","81","39","Gadus chalcogrammus",20756,"A"
"999","e02370-C","sample","e02370","C","81","39","Gadus macrocephalus",11948,"A"
"1000","e02372-A","sample","e02372","A","398","89","Gadus chalcogrammus",9518,"A"
"1001","e02372-A","sample","e02372","A","398","89","Gadus macrocephalus",19965,"A"
"1002","e02372-B","sample","e02372","B","398","89","Gadus chalcogrammus",13833,"A"
"1003","e02372-B","sample","e02372","B","398","89","Gadus macrocephalus",25433,"A"
"1004","e02372-C","sample","e02372","C","398","89","Gadus chalcogrammus",10553,"A"
"1005","e02372-C","sample","e02372","C","398","89","Gadus macrocephalus",17441,"A"
"1006","e02373-A","sample","e02373","A","312","89","Gadus chalcogrammus",19403,"A"
"1007","e02373-A","sample","e02373","A","312","89","Gadus macrocephalus",30994,"A"
"1008","e02373-B","sample","e02373","B","312","89","Gadus chalcogrammus",15513,"A"
"1009","e02373-B","sample","e02373","B","312","89","Gadus macrocephalus",23476,"A"
"1010","e02373-C","sample","e02373","C","312","89","Gadus chalcogrammus",12828,"A"
"1011","e02373-C","sample","e02373","C","312","89","Gadus macrocephalus",19277,"A"
"1012","e02374-A","sample","e02374","A","360","39","Boreogadus saida",4819,"A"
"1013","e02374-A","sample","e02374","A","360","39","Gadus chalcogrammus",22485,"A"
"1014","e02374-A","sample","e02374","A","360","39","Gadus macrocephalus",12848,"A"
"1015","e02374-B","sample","e02374","B","360","39","Boreogadus saida",4594,"A"
"1016","e02374-B","sample","e02374","B","360","39","Gadus chalcogrammus",23935,"A"
"1017","e02374-B","sample","e02374","B","360","39","Gadus macrocephalus",13476,"A"
"1018","e02374-C","sample","e02374","C","360","39","Boreogadus saida",3429,"A"
"1019","e02374-C","sample","e02374","C","360","39","Gadus chalcogrammus",22089,"A"
"1020","e02374-C","sample","e02374","C","360","39","Gadus macrocephalus",12989,"A"
"1021","e02375-A","sample","e02375","A","8","39","Boreogadus saida",3982,"A"
"1022","e02375-A","sample","e02375","A","8","39","Gadus chalcogrammus",15044,"A"
"1023","e02375-A","sample","e02375","A","8","39","Gadus macrocephalus",11558,"A"
"1024","e02375-B","sample","e02375","B","8","39","Boreogadus saida",6925,"A"
"1025","e02375-B","sample","e02375","B","8","39","Gadus chalcogrammus",27525,"A"
"1026","e02375-B","sample","e02375","B","8","39","Gadus macrocephalus",17849,"A"
"1027","e02375-C","sample","e02375","C","8","39","Boreogadus saida",2721,"A"
"1028","e02375-C","sample","e02375","C","8","39","Gadus chalcogrammus",13744,"A"
"1029","e02375-C","sample","e02375","C","8","39","Gadus macrocephalus",9140,"A"
"1030","e02380-A","sample","e02380","A","492","89","Gadus chalcogrammus",11579,"A"
"1031","e02380-A","sample","e02380","A","492","89","Gadus macrocephalus",17814,"A"
"1032","e02380-B","sample","e02380","B","492","89","Gadus chalcogrammus",14729,"A"
"1033","e02380-B","sample","e02380","B","492","89","Gadus macrocephalus",22731,"A"
"1034","e02380-C","sample","e02380","C","492","89","Gadus chalcogrammus",13520,"A"
"1035","e02380-C","sample","e02380","C","492","89","Gadus macrocephalus",17908,"A"
