"extraction_ID","alt_ID","tank_ID","sample_type","N.pcr.reps","simple.N","simple.Mean_Boreogadus saida","simple.Mean_Gadus chalcogrammus","simple.Mean_Gadus macrocephalus","raw.mean_Boreogadus saida","raw.mean_Gadus chalcogrammus","raw.mean_Gadus macrocephalus","mock1.mean_Boreogadus saida","mock1.mean_Gadus chalcogrammus","mock1.mean_Gadus macrocephalus","pcr_dissim","tank_dissim"
"e02436","171","10","sample",3,3,0,0.0811003372165253,0.918899662783475,1.20350437615145e-06,0.0925160845963393,0.907482621470074,2.65089374848614e-06,0.0600964161883106,0.939900849831347,"no","no"
"e02437","335","10","sample",3,3,0,0.106422592180365,0.893577407819635,8.90014163759697e-07,0.121554147530113,0.878444900171969,1.71166860126852e-06,0.0810641450188915,0.918934089416318,"no","no"
"e02438","475","10","sample",3,3,0.000774131574356607,0.074872395396354,0.924353473029289,0.00045644707965458,0.0891573383752069,0.910386140014324,0.000922384199707582,0.0580176625253102,0.941059862282491,"no","no"
"e02120","413","11","sample",3,3,0.220498596192231,0.557924590200795,0.221576813606974,0.245921231576496,0.53585357791715,0.218225115359926,0.419104688860818,0.358245574686495,0.222649650049801,"no","no"
"e02131","495","11","sample",3,3,0.169025459755246,0.697344188105674,0.13363035213908,0.198716931480848,0.664467925879673,0.136815064831713,0.369597961985966,0.480676242266124,0.149725739571333,"no","no"
"e02139","377","11","sample",3,3,0.147741969221578,0.759091342370466,0.0931666884079555,0.181763997774552,0.718485587331189,0.0997503638971094,0.348924979936012,0.539308671117631,0.11176627742794,"no","no"
"e02496","234","14","sample",3,3,0,0.996267059802883,0.00373294019711693,1.12318700129152e-06,0.995391883273699,0.00460696676865237,3.76560097289077e-06,0.992553069659112,0.00744311673526677,"no","no"
"e02497","272","14","sample",3,3,0,0.98544139625203,0.01455860374797,1.38118359418672e-06,0.9821696377982,0.0178289559012549,3.77666321809399e-06,0.971597752168334,0.0283984022386328,"no","no"
"e02498","150","14","sample",3,3,0,0.997749102829319,0.00225089717068107,1.3744643666841e-06,0.997271216927047,0.00272736921596794,5.09149357834795e-06,0.995446017041259,0.00454885388986389,"no","no"
"e02141","491","17","sample",3,3,0.217568213855674,0.782431786144326,0,0.247283699279689,0.752712531470866,3.7664342333683e-06,0.447701949125913,0.552293742429265,4.30520512349844e-06,"yes","no"
"e02150","481","17","sample",3,3,0.280403347776207,0.718315527153452,0.00128112507034139,0.311307152529687,0.688036758890621,0.000656069498725944,0.525755085919728,0.473543124936607,0.00070178126696142,"no","no"
"e02152","408","17","sample",3,3,0.300137667234877,0.699862332765123,0,0.323444306132765,0.67655205455031,3.63466295194224e-06,0.541811961950004,0.45818434496868,3.69060080783747e-06,"no","no"
"e02398","166","18","sample",3,1,0.0322706498718092,0.967729350128191,0,0.0872606899079052,0.912712978782872,2.62878413625699e-05,0.169358033407292,0.830604729323748,3.7200695036649e-05,"no","no"
"e02404","378","18","sample",3,2,0.7786465354543,0.2213534645457,0,0.979887354485224,0.0201063643233034,6.27469990462908e-06,0.992744209232384,0.00725250631033771,3.28347242691828e-06,"yes","yes"
"e02405","336","18","sample",3,2,0,0.818678915135608,0.181321084864392,9.43862810527535e-06,0.978192454212989,0.021797955456235,2.39692419138109e-05,0.963653017586661,0.0363228796691881,"yes","no"
"e02362","435","2","sample",3,3,0.0262093787882879,0.908284550072608,0.0655060711391037,0.040470786749141,0.884598595232693,0.0749305721368169,0.0996857826401717,0.793145528276215,0.10716860483301,"no","no"
"e02363","393","2","sample",3,3,0.0341091622034682,0.874981200717451,0.0909096370790811,0.0504587070722711,0.848416999728387,0.101124174135221,0.121515680721049,0.740054267692909,0.138429981284526,"no","no"
"e02366","446","2","sample",3,3,0.0202851165967057,0.915860000747448,0.0638548826558459,0.0292659690945524,0.897422802380002,0.073311179206086,0.0764785819386357,0.817047825923756,0.106473484331121,"no","no"
"e02490","109","22","sample",3,3,0.999929253170744,7.07468292557434e-05,0,0.999955991518613,4.26267659400803e-05,1.38113774991663e-06,0.999983513432691,1.55580767420101e-05,9.28172643516168e-07,"no","no"
"e02491","14","22","sample",3,3,0.990888925248864,0.00911107475113645,0,0.984114637320364,0.0158830630392668,2.29670315305364e-06,0.994164864303023,0.00583386377265257,1.27173341867335e-06,"no","no"
"e02492","65","22","sample",3,3,1,0,0,0.999998224741646,4.86285492143764e-07,1.28857704119745e-06,0.99999918581148,1.78928942056046e-07,6.35125890916235e-07,"no","no"
"e02228","124","24","sample",3,3,0,0.0839745110569976,0.916025488943002,1.56946011176652e-06,0.0977460090773147,0.902252332180113,3.05897534380243e-06,0.0645064393990468,0.935490390524676,"no","no"
"e02231","379","24","sample",3,3,0,0.252755326861779,0.747244673138221,1.59236527149919e-06,0.270168473343694,0.729829852414703,3.74634612869421e-06,0.188876775205247,0.811119364748532,"no","no"
"e02233","106","24","sample",3,3,0,0.127465791320671,0.872534208679329,1.32614106693372e-06,0.143056675930502,0.85694192836886,2.95496875505296e-06,0.0993132472829676,0.900683714412422,"no","no"
"e02143","62","3","sample",3,3,0.163440930939419,0.836559069060581,0,0.197622338559623,0.802371328101798,6.32867969911717e-06,0.382024092909248,0.617969053732963,6.84508871682047e-06,"no","no"
"e02154","226","3","sample",3,3,0.151794989965775,0.848205010034225,0,0.189894099753318,0.810102664305749,3.23421167887744e-06,0.372674789538779,0.627321233452191,3.97483902067267e-06,"no","no"
"e02167","404","3","sample",3,3,0.151582322135531,0.848417677864469,0,0.186511528129261,0.813484658188442,3.81237972199997e-06,0.366783758603894,0.633211408601527,4.82899963765402e-06,"yes","no"
"e02376","437","30","sample",3,3,0,0.673456263322016,0.326543736677984,1.57522111995908e-06,0.653217407961276,0.346780929952002,3.88630213854128e-06,0.55202914563605,0.447966855392778,"no","no"
"e02384","411","30","sample",3,3,0,0.667074903883315,0.332925096116685,1.4281506009429e-06,0.652913962413106,0.347084551744315,3.98461696565939e-06,0.543984322083233,0.456011587759736,"no","no"
"e02385","270","30","sample",3,3,0,0.628590580626184,0.371409419373816,1.65419336093476e-06,0.616889311012535,0.383108963211204,4.46713741861149e-06,0.504488325681306,0.495507100810342,"no","no"
"e02226","340","32","sample",3,3,0,0.204993885730991,0.795006114269009,1.84706870851135e-06,0.224546201467359,0.775451826116277,3.6174904775987e-06,0.155493439159645,0.844502816651302,"no","no"
"e02235","351","32","sample",3,3,0,0.0866158429571145,0.913384157042886,1.63665267984875e-06,0.100713062210478,0.899285201403681,3.30988014631934e-06,0.0659378737801007,0.934058714368055,"no","no"
"e02237","313","32","sample",3,3,0,0.279118546643213,0.720881453356787,1.33416268755768e-06,0.293419772902264,0.7065788220776,3.00753612621808e-06,0.21286048957111,0.787136402566299,"no","no"
"e02464","438","33","sample",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"e02470","93","33","sample",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"e02476","468","33","sample",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"e02192","420","34","sample",3,3,0,1,0,7.17802757804363e-07,0.999997444909671,1.83688909278321e-06,1.74148848301546e-06,0.999995108436497,3.14841915445727e-06,"no","no"
"e02194","181","34","sample",3,3,0,1,0,7.34775049735428e-07,0.999997046632193,2.21681324313223e-06,2.32482334357446e-06,0.999994465510135,3.20820185543736e-06,"no","no"
