"tank_ID","Species","n.simple.N","n.sample.dissim","n.tank.dissim","Mean","SD","q.025","Median","q.975"
"10","Boreogadus saida",9,0,0,0.000308915587352446,0.000531279610275674,1.7586298586294e-06,2.65089374848614e-06,0.000876397534409627
"10","Gadus chalcogrammus",9,0,0,0.0663927412441708,0.0127482497127459,0.0581216002084602,0.0600964161883106,0.0800157585773625
"10","Gadus macrocephalus",9,0,0,0.933298267176719,0.0124532336971073,0.919982427437069,0.939900849831347,0.941001911659934
"11","Boreogadus saida",9,0,0,0.379209210260932,0.0360635544039256,0.34995862903851,0.369597961985966,0.416629352517075
"11","Gadus chalcogrammus",9,0,0,0.459410162690083,0.0923858529630408,0.364367108065476,0.480676242266124,0.536377049675056
"11","Gadus macrocephalus",9,0,0,0.161380555683025,0.0563529647396446,0.11366425053511,0.149725739571333,0.219003454525878
"14","Boreogadus saida",9,0,0,4.21125258977757e-06,7.62331123454076e-07,3.76615408515093e-06,3.77666321809399e-06,5.02575206033525e-06
"14","Gadus chalcogrammus",9,0,0,0.986532279622902,0.0130143139987244,0.972645518042873,0.992553069659112,0.995301369672152
"14","Gadus macrocephalus",9,0,0,0.0134634576212545,0.0130147461518728,0.00469356703213404,0.00744311673526677,0.0273506379634645
"17","Boreogadus saida",9,1,0,0.505089665665215,0.050343503296447,0.451604605965604,0.525755085919728,0.54100911814849
"17","Gadus chalcogrammus",9,1,0,0.494673737444851,0.0504878377565206,0.458952283967076,0.473543124936607,0.548356211554632
"17","Gadus macrocephalus",9,1,0,0.000236592357630919,0.000402865530242651,3.72133102362052e-06,4.30520512349844e-06,0.000666907463869524
"18","Boreogadus saida",5,2,1,0.38737540396053,0.531057481934767,0.00849067245018273,0.169358033407292,0.95157490044113
"18","Gadus chalcogrammus",5,2,1,0.600503417740249,0.518059306148184,0.0484201174610083,0.830604729323748,0.957000603173515
"18","Gadus macrocephalus",5,2,1,0.0121211212788839,0.0209593444430281,4.97933355740482e-06,3.7200695036649e-05,0.0345085957204805
"2","Boreogadus saida",9,0,0,0.0992266817666188,0.0225220591175249,0.0776389419737125,0.0996857826401717,0.120424185817005
"2","Gadus chalcogrammus",9,0,0,0.783415873964293,0.0394081416972918,0.742708830722074,0.793145528276215,0.815852711041379
"2","Gadus macrocephalus",9,0,0,0.117357356816219,0.0182527374553724,0.106508240356215,0.10716860483301,0.13686691246195
"22","Boreogadus saida",9,0,0,0.998049187849065,0.00336393199449907,0.994455796759506,0.999983513432691,0.999998402192541
"22","Gadus chalcogrammus",9,0,0,0.00194986692611221,0.003363648726829,9.47886332053749e-07,1.55580767420101e-05,0.00554294848785704
"22","Gadus macrocephalus",9,0,0,9.45010651035251e-07,3.18637607592334e-07,6.49778228546232e-07,9.28172643516168e-07,1.25455537991549e-06
"24","Boreogadus saida",9,0,0,3.25343007584987e-06,4.30033741687279e-07,2.96016908449043e-06,3.05897534380243e-06,3.71197758944962e-06
"24","Gadus chalcogrammus",9,0,0,0.117565487295754,0.0641627096236593,0.0662467797932428,0.0993132472829676,0.184398598809133
"24","Gadus macrocephalus",9,0,0,0.882431156561877,0.0641631117872115,0.815597582231726,0.900683714412422,0.933750056719063
"3","Boreogadus saida",9,1,0,0.373827547017307,0.00768528365045585,0.367078310150638,0.372674789538779,0.381556627740725
"3","Gadus chalcogrammus",9,1,0,0.626167231928894,0.00768642537995648,0.618436662718924,0.627321233452191,0.63291689984406
"3","Gadus macrocephalus",9,1,0,5.21630912504905e-06,1.47380114290524e-06,4.01754705152174e-06,4.82899963765402e-06,6.74428426286215e-06
"30","Boreogadus saida",9,0,0,4.11268550760405e-06,3.10875488291428e-07,3.89121787989719e-06,3.98461696565939e-06,4.44301139596388e-06
"30","Gadus chalcogrammus",9,0,0,0.533500597800196,0.0254453089315967,0.506463125501402,0.543984322083233,0.551626904458409
"30","Gadus macrocephalus",9,0,0,0.466495181320952,0.0254450001779943,0.448369092011126,0.456011587759736,0.493532325157812
"32","Boreogadus saida",9,0,0,3.31163558337871e-06,3.04980964752704e-07,3.02265332722314e-06,3.30988014631934e-06,3.60210996103473e-06
"32","Gadus chalcogrammus",9,0,0,0.144763934170285,0.0740466438517348,0.0704156520490779,0.155493439159645,0.209992137050537
"32","Gadus macrocephalus",9,0,0,0.855232644528552,0.0740465281495335,0.790004723270549,0.844502816651302,0.929580919482217
"34","Boreogadus saida",9,0,0,1.96128959603665e-06,3.17118578066099e-07,1.74529190694069e-06,1.81755696152002e-06,2.29946002447174e-06
"34","Gadus chalcogrammus",9,0,0,0.999994896993207,3.73700021073524e-07,0.999994497656453,0.999995108436497,0.999995116603164
"34","Gadus macrocephalus",9,0,0,3.13936275602862e-06,7.37853255845674e-08,3.06581485300452e-06,3.14841915445727e-06,3.20521272038836e-06
"38","Boreogadus saida",9,3,0,0.638151008879883,0.190058884388399,0.444087055578982,0.676455810292179,0.799655880980333
"38","Gadus chalcogrammus",9,3,0,1.72380897411858e-06,7.1559979668131e-07,1.00858938119974e-06,1.8173950023813e-06,2.35948044301412e-06
"38","Gadus macrocephalus",9,3,0,0.361847161773715,0.190059073696457,0.20034165565624,0.323543151081063,0.555911076979945
"39","Boreogadus saida",9,0,0,0.249546209707478,0.0196697171275802,0.234385179782355,0.243074349970164,0.270208320409319
"39","Gadus chalcogrammus",9,0,0,0.38615967609833,0.0292201287305828,0.354982038369367,0.39965734983412,0.405864291151872
"39","Gadus macrocephalus",9,0,0,0.36429404346571,0.00999203475019528,0.357398871018253,0.359881095450127,0.374940221726412
